"date"	"bassin"	"comptage"	"sel"	"temperature"	"o2"	"niveau"	"annee"	"dateJ"
"2014-08-21"	"J"	16	98.6	21.7	6.8	15.5	2014	232
"2014-08-21"	"KL"	161	130	22.5	7.6	7	2014	232
"2014-08-28"	"B"	270	104.4	21.1	6.25	20.5	2014	239
"2014-08-28"	"C"	5	73.25	21.25	6.4	10	2014	239
"2014-08-28"	"D"	36	95.9	21.5	7.05	12.5	2014	239
"2014-08-28"	"G"	0	130	23.275	8.9	19	2014	239
"2014-08-28"	"H"	91	130	23.575	5.375	16.5	2014	239
"2014-08-28"	"I"	75	60.75	24.4	8.2	72.5	2014	239
"2014-08-28"	"J"	23	97.7	22.9	5.25	15.25	2014	239
"2014-08-28"	"KL"	112	96	21.65	8.05	13.5	2014	239
"2014-09-04"	"B"	40	78.8	19.7	7.5	20	2014	246
"2014-09-04"	"C"	6	58.7	22.5	7.9	5	2014	246
"2014-09-04"	"D"	71	130	22.5	6.7	20	2014	246
"2014-09-04"	"G"	5	130	25.15	9.5	17.5	2014	246
"2014-09-04"	"H"	38	130	25.15	4.45	15	2014	246
"2014-09-04"	"I"	261	61.8	26.2	8.1	65	2014	246
"2014-09-04"	"J"	61	96.8	24.1	3.7	15	2014	246
"2014-09-04"	"KL"	97	62	20.8	8.5	20	2014	246
"2014-09-12"	"B"	157	78.4210526315789	20.2473684210526	7.33157894736842	17.8947368421053	2014	254
"2014-09-12"	"C"	3	54.9947368421053	21.9947368421053	8.6578947368421	5	2014	254
"2014-09-12"	"D"	45	130	22.2894736842105	5.43684210526316	20	2014	254
"2014-09-12"	"G"	67	130	24.2657894736842	8.51052631578947	22.7631578947368	2014	254
"2014-09-12"	"H"	94	130	24.2236842105263	5.52368421052632	19.2105263157895	2014	254
"2014-09-12"	"I"	1	60.0736842105263	24.6421052631579	7.2578947368421	71.3157894736842	2014	254
"2014-09-12"	"J"	129	93.6631578947368	23.1315789473684	5.55263157894737	14.5789473684211	2014	254
"2014-09-12"	"KL"	104	90.6315789473684	21.5157894736842	8.79473684210526	15.7894736842105	2014	254
"2014-09-18"	"B"	100	55.45	19.75	7.85	20	2014	260
"2014-09-18"	"C"	13	43.2	21.35	8.3	5	2014	260
"2014-09-18"	"D"	13	103.3	21.9	7.05	22.5	2014	260
"2014-09-18"	"G"	2	119.675	23.175	9.175	25	2014	260
"2014-09-18"	"H"	82	130	24.025	6.3	21.25	2014	260
"2014-09-18"	"I"	11	56.3	23.55	9.6	72.5	2014	260
"2014-09-18"	"J"	29	77.75	22.925	6.25	14.25	2014	260
"2014-09-18"	"KL"	48	96	22.05	9.1	22	2014	260
"2014-09-25"	"B"	47	67.7222222222222	20.7333333333333	7.34444444444444	16.1111111111111	2014	267
"2014-09-25"	"C"	0	44.9666666666667	21.0555555555556	9.47777777777778	5	2014	267
"2014-09-25"	"D"	0	118.133333333333	21.8444444444444	4.52222222222222	21.1111111111111	2014	267
"2014-09-25"	"G"	0	125.411111111111	22.6388888888889	7.52777777777778	30.5555555555556	2014	267
"2014-09-25"	"H"	1	130	22.9388888888889	7.25555555555556	25.5555555555556	2014	267
"2014-09-25"	"I"	1	56.1666666666667	22.1444444444444	7.21111111111111	80	2014	267
"2014-09-25"	"J"	3	82.5388888888889	21.7888888888889	8.25555555555555	13.8888888888889	2014	267
"2014-09-25"	"KL"	17	130	22.6777777777778	9.31111111111111	13.1111111111111	2014	267
"2014-10-02"	"B"	84	32.1	19.8	8.2	20	2014	274
"2014-10-02"	"C"	0	27.7	20.2	8.7	5	2014	274
"2014-10-02"	"D"	2	76.6	21.3	7.4	25	2014	274
"2014-10-02"	"G"	0	109.35	21.2	8.85	32.5	2014	274
"2014-10-02"	"H"	1	130	22.9	8.15	27.5	2014	274
"2014-10-02"	"I"	2	50.8	20.9	11.1	80	2014	274
"2014-10-02"	"J"	2	58.7	21.75	8.8	13.5	2014	274
"2014-10-02"	"KL"	0	130	23.3	9.7	24	2014	274
"2014-10-16"	"B"	7	19.7	18.8	6.6	18	2014	288
"2014-10-16"	"C"	0	15.7	19.7	9.1	4	2014	288
"2014-10-16"	"D"	5	54.7	20.5	7.8	35	2014	288
"2014-10-16"	"G"	4	75.4	20.75	8.5	30	2014	288
"2014-10-16"	"H"	2	103.3	22	7.15	25.5	2014	288
"2014-10-16"	"I"	3	47	22	1.6	87	2014	288
"2014-10-16"	"J"	24	54.9	20.95	6.85	21.5	2014	288
"2014-10-16"	"KL"	3	73.4	21.8	7.3	35	2014	288
"2014-11-19"	"B"	129	23.58	14.0533333333333	9.67777777777778	7.91111111111111	2014	322
