ID	altitude_mediane	altitude_min	altitude_max	saison_temperature	temp_trim_chaud	temp_trim_froid	saison_precip	precip_trim_humide	precip_trim_sec
ID305	1180	878	1341	56.675	14	-0.4	17	250	177
ID306	1244	656	1442	56.69	13.75	-0.7	15	259	191.5
ID307	1047.5	699	1398	58.04	14.8	0	15	250	188
ID308	725	406	1012	60.525	17.3	1.7	17	246	176.5
ID309	470.5	164	800	62.04	18.9	2.9	18	253	181
ID310	205.5	86	627	63.215	20.3	3.95	20	260	178
ID311	118.5	91	242	63.51	20.7	4.3	20	261	173
ID337	1185	1046	1254	54.87	14.4	0.5	17	248	172
ID338	1151.5	993	1262	55.195	14.55	0.6	18	244	165
ID339	1027.5	932	1102	56.04	15.4	1.1	19	229	151
ID340	1188.5	1007	1436	55.18	14.1	0.2	18	243.5	164
ID341	1363	1193	1476	54.28	12.9	-0.7	16	260	184
ID342	1181.5	975	1341	55.545	14.1	0	18	242	163
ID343	1015.5	904	1226	56.98	15.2	0.7	19	227.5	152
ID344	1240.5	1000	1462	55.915	13.7	-0.45	16	251	178.5
ID345	1199.5	538	1436	56.5	13.9	-0.4	16	252	183
ID346	670	342	1308	59.815	17.4	2.1	19	232	158
ID347	579	265	1248	60.64	17.9	2.3	18	240	167
ID348	657.5	287	962	60.605	17.6	2	17	248	178
ID349	459	194	839	61.89	18.85	2.9	18	256	184
ID350	196	77	505	63.105	20.4	4.1	21	265	173
ID351	267	81	573	63.04	19.9	3.6	19	266	179
ID377	1250	1158	1384	54.55	14	0.2	16	254	182
ID378	1171	908	1374	55.055	14.6	0.6	16	243	170.5
ID379	1048.5	804	1162	55.985	15.4	1.1	18	228	155
ID380	1158	968	1395	55.29	14.4	0.4	17	239	165
ID381	1355.5	1178	1513	54.3	13.1	-0.6	15	257	186
ID382	1245.5	1149	1388	55.035	13.7	-0.25	16	248	177
ID383	1221.5	953	1458	55.44	13.8	-0.25	16	247	176
ID384	1081	678	1360	56.585	14.8	0.4	17	235.5	168
ID385	1163.5	527	1519	56.33	14.25	-0.1	15	246	183
ID386	666.5	374	1325	59.88	17.7	2.4	18	235	164
ID387	348	167	731	61.68	19.7	3.8	20	243	167
ID388	321	179	682	62	19.8	3.8	20	253	171
ID389	478	206	757	61.605	18.9	3	19	260	183
ID390	176	64	500	63.02	20.6	4.3	22	270	168
ID391	159.5	92	530	63.18	20.6	4.2	21	268	166
ID417	1174	809	1410	54.945	14.6	0.65	16	246	179
ID418	905.5	609	1354	56.82	16.6	2.15	17	216.5	153.5
ID419	822	645	1100	57.375	17.1	2.4	18	214	146
ID420	952	655	1256	56.63	16	1.6	17	221	154.5
ID421	1038	740	1277	56.11	15.3	1	17	227	160
ID422	1196.5	918	1460	55.335	14.1	0.1	16	241	174
ID423	1147	825	1412	55.89	14.6	0.4	16	237	173
ID424	918	504	1178	57.56	16.1	1.4	17	229.5	162
ID425	682	378	1170	59.275	17.6	2.4	18	230	160
ID426	429	170	814	60.93	19.3	3.7	20	237	163
ID427	223.5	123	472	61.92	20.3	4.4	22	247	160
ID428	298.5	155	450	62.01	20	4	21	256.5	165
ID429	254.5	122	510	62.49	20.25	4.1	22	265	164.5
ID430	86.5	56	321	63.08	21.1	4.8	24	271	157
ID431	203.5	100	447	62.975	20.45	4.2	22	269	164
ID432	403.5	193	848	62.225	19.2	3.2	19	266	174
ID458	731.5	510	943	57.925	17.95	3.1	17	210	148
ID459	874	612	949	57.12	16.9	2.3	17	217	155
ID460	962.5	694	1087	56.57	16.1	1.7	16	223	159
ID461	1146	736	1454	55.4	14.8	0.7	15	235	173.5
ID462	1366.5	996	1684	54.08	13.1	-0.5	14	254.5	194
ID463	1193.5	626	1664	55.17	14.05	0.1	15	243.5	184
ID464	680.5	294	1225	58.735	17.5	2.5	18	227	161
ID465	393	131	863	60.59	19.5	3.9	20	233	160
ID466	222	109	441	61.4	20.4	4.6	22	241	153.5
ID467	169	88	373	61.9	20.8	4.85	23	250	152
ID468	339	110	656	61.71	19.9	4	22	258	163
ID469	326	59	414	62.08	19.85	3.9	22	264	164
ID470	74.5	54	348	62.95	21.3	5.05	24.5	267	149
ID471	206	83	379	62.77	20.5	4.3	23	267	157
ID472	253	161	625	62.625	20.1	4	21	263	159
ID498	877.5	611	988	57.235	17.15	2.5	16	218	161
ID499	870.5	481	1055	57.125	17	2.4	16	219	158
ID500	943	463	1081	56.77	16.35	1.9	16	224	163
ID501	831	505	1215	57.425	17	2.3	16	222	160
ID502	1061.5	630	1393	55.96	15.3	1.1	15	234	174.5
ID503	1211.5	549	1506	55.035	14.1	0.2	14	247	190
ID504	523.5	297	1464	59.485	18.7	3.4	18	229	163
ID505	343.5	180	905	60.55	19.8	4.3	21	236	157
ID506	205.5	114	381	61.23	20.6	4.8	23	244	149
ID507	221	131	530	61.61	20.5	4.6	23	252	150
ID508	292	73	414	61.59	20.05	4.2	23	259	156.5
