"ID"	"alti_median"	"alti_min"	"alti_max"	"temp_season_median"	"temp_warmqrt_median"	"temp_coldqrt_median"	"prec_season_median"	"prec_wetqrt_median"	"prec_dryqrt_median"
64	874	571	964	58.67	15.8	0.7	26	240	130
65	636	435	876	60.26	17.3	1.8	25	225	127
66	689	428	872	60.27	16.9	1.3	23	236	140
660	796	383	1385	57.2	17.9	3.3	16	224	172
661	523	237	1258	58.065	19	4.1	18	224	156.5
662	403.5	157	734	58.85	19.9	4.8	21	227	145
663	361	152	911	58.97	19.8	4.7	22	235	144
664	175.5	86	404	59.655	21	5.6	26	241	131
665	116.5	86	209	60.02	21.2	5.8	27	247	128
666	112.5	66	217	60.53	21.4	5.8	28	253	126.5
667	99	43	211	60.835	21.5	5.9	30	258	124
668	109	33	207	61.2	21.4	5.7	30	260	124
669	142	20	270	61.37	21.2	5.5	29	258	125
670	99	18	264	61.445	21.4	5.6	29	253	120.5
671	23	11	129	61.635	21.7	5.8	29	246	116
672	39.5	24	115	61.57	21.6	5.7	29	241	115.5
673	131.5	48	496	61.39	21	5.2	27	240	120
674	494.5	171	728	60.025	18.8	3.3	22	248.5	144
675	565.5	223	982	59.81	18.35	3.05	20.5	249	148
676	922	281	1211	58.455	16.6	1.65	18	260.5	169
699	742	637	827	57.27	18.2	3.6	16	225	169
70	368	137	679	63.05	19	2.8	17	243	168
700	696	378	814	57.52	18.4	3.7	17	225	164
701	569.5	199	791	57.85	18.95	4.1	18.5	226	155
702	227	115	807	58.895	20.65	5.5	24	230	133
703	257	158	522	58.915	20.5	5.35	24	238	134
704	153	69	439	59.255	21	5.8	27	244	128
705	109.5	40	273	59.635	21.3	5.9	29	249	125
706	141	68	272	60.05	21.2	5.8	29	255	124
707	146.5	56	200	60.455	21.2	5.8	30	259	123
708	121.5	46	212	60.69	21.4	5.9	31	259	120
709	43.5	7	142	61.14	21.8	6.1	31	253	114
710	36	9	159	61.235	21.7	5.9	31	248	113
711	23	14	100	61.32	21.7	5.9	30	242	110
712	51	32	122	61.24	21.4	5.7	30	237	109
713	75	56	263	61.11	21.25	5.5	29	233	110
714	191	98	468	60.745	20.6	4.9	27	232	116
715	235.5	150	538	60.64	20.4	4.8	25	232	119.5
716	412	232	682	59.825	19.4	4.05	23	237	131
717	484	305	657	59.4	18.9	3.6	22	239	138
72	246	207	419	64.11	19.7	3.1	15	244	181
738	685.5	474	842	57.48	18.7	4	17	225	163
739	695	241	840	57.39	18.5	3.9	17	226	164
740	656	394	776	57.33	18.6	4	18	227	158
741	527.5	206	805	57.765	19.25	4.5	20	228	148
742	227	96	426	58.52	20.6	5.6	25	233	131
743	222	96	599	58.64	20.65	5.6	26	240	129
744	124.5	54	267	58.91	21.1	5.9	28	245	124
745	64	27	149	59.25	21.4	6.2	30	249.5	119
746	89.5	28	207	59.62	21.4	6.1	31	254	117.5
747	45.5	19	185	60.15	21.8	6.4	32	256	113
748	58	28	94	60.485	21.8	6.2	32	255	111
749	27	2	99	60.66	21.8	6.3	32	251	110
750	8.5	3	202	60.635	21.9	6.3	32	244	106
751	54.5	8	326	60.66	21.5	5.9	31	240	107
752	64	45	277	60.68	21.3	5.7	30	234	106
753	98	65	551	60.465	21.1	5.5	29	231	106.5
754	333.5	104	706	60.05	19.9	4.5	26	235	117
755	373	133	694	59.84	19.8	4.4	25	234	119.5
756	412.5	210	1083	59.31	19.45	4.25	24.5	235	123.5
757	413.5	278	934	59.04	19.5	4.3	24	235	124
758	459	258	639	58.65	19.3	4.2	24	236	126
777	540.5	321	940	57.85	19.55	4.7	18	221	151
778	488.5	251	796	57.8	19.6	4.85	19	221	147
779	265	100	633	58.14	20.7	5.7	22	217	130.5
780	296.5	80	756	58.05	20.6	5.7	23	220	129.5
781	204.5	56	616	58.175	20.9	5.95	25	226	125
782	246	137	488	58.05	20.6	5.7	26	234	128
783	120	58	287	58.29	21.1	6.1	29	240	121
784	93	41	244	58.58	21.2	6.1	30	247	120
785	39	6	92	58.9	21.5	6.3	32	251	115
786	14	5	81	59.295	21.7	6.5	32	252	111
787	54	10	116	59.585	21.6	6.4	32.5	253	111
788	28	1	101	59.83	21.9	6.5	33	251	106
789	3	2	8	60.01	21.9	6.5	33	246	103
790	6	1	124	60.205	21.8	6.3	33	241	102
791	41	1	265	60.235	21.6	6.1	32	235.5	101
792	125	19	417	60.105	21.15	5.7	31	231	102
793	107	75	307	60.085	21	5.6	30	225	101
794	180	104	359	60.05	20.7	5.25	29	224	102
795	243.5	130	438	59.835	20.4	5	28	226	106
796	196.5	158	402	59.635	20.7	5.4	28	224	102.5
797	266	191	487	59.01	20.3	5.1	27	228	109
798	349.5	217	567	58.45	19.9	4.9	26	233	115
814	799	664	993	56.585	17.8	3.4	15	238	185.5
815	945	725	1113	55.91	16.9	2.7	14	245	195
816	926	417	1118	56.24	17.4	3.1	15	241	184.5
817	379.5	187	697	57.835	20.3	5.4	20	217	137
818	338	194	585	57.785	20.5	5.6	21	218	132
819	240	137	484	57.87	20.8	5.9	23	220	126
820	86	30	285	57.95	21.5	6.6	26	219	116
821	118	40	303	57.88	21.2	6.35	27	225.5	117
822	158	94	307	57.73	20.9	6.1	28	234	121
823	70	17	145	57.775	21.3	6.4	30.5	241.5	115.5
824	29.5	1	79	57.935	21.4	6.4	32	248	114
825	4	0	27	58.26	21.6	6.6	33	250	111
826	4	2	12	58.655	21.7	6.6	33	250	108
827	2	0	50	58.96	21.8	6.7	34	249	105
828	3	0	10	59.41	21.9	6.7	34	247	102
829	2	1	5	59.51	21.9	6.6	34	242	100
830	4	1	31	59.53	21.8	6.6	34	237	97
831	22	7	53	59.785	21.7	6.3	33	232	95
832	47	27	68	59.82	21.4	6.1	33	225	94
833	67	25	168	59.71	21.2	5.9	32	219	93
834	142	65	268	59.82	21	5.6	31	219	94
835	247.5	161	380	59.51	20.5	5.2	29	223.5	99
836	319	201	493	58.93	20.1	5	28	228.5	105.5
837	380	197	756	58.24	19.7	4.75	27	233.5	111
838	377.5	267	655	57.81	19.8	5	27	236	110
854	892	329	1038	56.15	17.3	3	14	244	194
855	505.5	197	1091	57.335	19.5	4.8	17.5	225	151
856	329.5	89	797	57.665	20.6	5.75	20	216.5	132
857	329	124	654	57.5	20.45	5.7	21	219	132
858	221	122	461	57.665	21.1	6.2	23	217	121.5
859	149.5	55	387	57.665	21.3	6.5	25	218	116
860	60	16	258	57.65	21.7	6.8	28	219	110
861	140	40	331	57.52	21.2	6.5	28	227	116
862	83	22	322	57.505	21.3	6.6	30	234	113
863	21	0	145	57.49	21.5	6.7	32	239	111
864	0	0	12	57.7	21.5	6.6	33	247	111
866	1	0	2	58.11	21.7	6.8	34	248	105
867	1	0	3	58.53	21.8	6.8	34	247	102
868	1	0	2	58.77	21.9	6.8	35	244	99
869	0	0	2	59.075	21.9	6.7	34	240	96
870	1	0	4	59.06	21.8	6.7	34	235	93
871	3	1	21	59.32	21.8	6.6	34	228	90
872	22	0	89	59.6	21.6	6.4	34	222	89
874	29	1	199	60.02	21.7	6.3	34	212	83
875	152.5	61	262	59.665	21.1	5.75	32	217	89
876	195.5	112	359	59.065	20.8	5.7	31	222	92.5
877	299	167	920	58	20.35	5.5	30	230	98
878	316.5	212	879	57.205	20.2	5.55	30	237	100.5
894	541	325	826	57.12	19.2	4.6	17	229	158
895	532.5	204	771	57.14	19.4	4.8	17	228	152
896	188.5	68	615	57.54	21.25	6.4	22	213	118
897	120.5	20	276	57.55	21.6	6.8	24	210	112.5
898	101	32	176	57.47	21.7	6.9	26	213	111
899	67	26	105	57.38	21.7	7	27	215	108
900	41.5	4	120	57.32	21.8	7.1	29	219	107
901	33	0	159	57.165	21.7	7	30	224	107
902	16	0	216	57.16	21.7	7	31	230	107
909	1	0	2	58.66	21.9	6.8	35	237	94
910	1	0	2	58.715	21.9	6.8	35	232	90
911	1	0	2	58.82	21.8	6.8	35	226	87
912	2	0	53	59.215	21.8	6.6	35	220	84
913	38	0	120	59.325	21.6	6.4	35	217	82
914	9	0	74	59.84	21.9	6.6	35	210	76
915	171.5	36	261	59.295	21	5.8	33	219	87
916	253	139	559	58.355	20.6	5.6	32	225.5	92
917	336.5	213	610	57.415	20.1	5.5	31	235	98
918	341.5	224	631	56.68	20	5.6	31	242	99
927	202.5	166	280	57.66	20.4	5.5	15	214	157
928	189	151	471	57.7	20.5	5.65	16	210	152
929	348.5	158	652	57.33	19.7	5	16	224	165
930	489	210	782	57.13	19.15	4.45	15	229	172.5
931	461.5	198	808	57.15	19.3	4.6	16	228	162.5
932	537.5	195	916	56.975	19.2	4.6	16	230	164
933	410.5	148	906	57.27	20	5.3	18	223.5	143.5
934	330.5	74	611	57.39	20.55	5.8	20	219	132
935	204.5	63	437	57.45	21.2	6.4	22	214	118.5
936	137	35	281	57.41	21.5	6.8	24	211	112
937	67.5	3	203	57.34	21.9	7.1	26	209.5	106
938	43.5	9	109	57.17	22	7.3	27	211	104.5
939	32.5	4	69	57.115	21.9	7.3	28	214	103
940	11	3	52	56.885	22	7.35	30	217	102
941	1	0	27	56.835	21.9	7.3	31	221	102
951	0	0	1	58.465	21.9	6.9	36	225	84
953	50	0	162	58.995	21.6	6.5	35	216.5	80
954	119	0	233	59.115	21.3	6.15	34	216.5	82
956	133.5	2	353	58.475	21.3	6.4	35	221.5	80
957	252	78	696	57.045	20.75	6.05	34	233	87.5
958	398	113	1011	55.955	19.8	5.6	32	248	97.5
966	284	205	333	57.61	20	5.2	14	220	166
967	284.5	188	361	57.57	20	5.2	14	221	164
968	173	137	369	57.51	20.6	5.8	16	207	148
969	147.5	123	243	57.51	20.8	6	18	208	138
970	138	106	297	57.42	20.8	6.1	20	212.5	129
971	143.5	89	306	57.36	20.9	6.1	21	214	124
972	148.5	65	302	57.36	21	6.2	22	213	121
973	94	54	175	57.36	21.5	6.8	23	209	113.5
974	59.5	31	191	57.405	21.8	7	24	206	108.5
975	60.5	19	278	57.305	21.9	7.2	25	207	106
976	22.5	7	80	57.165	22.1	7.4	26	206	101
977	8.5	2	91	57.11	22.2	7.5	27	207	100
978	16.5	2	85	56.91	22.1	7.5	29	210	100
979	4	1	29	56.9	22.1	7.5	29	212	99
99	636.5	433	887	57.76	17.15	2.3	29	216	108.5
996	121	0	528	57.705	21.4	6.6	36.5	224	76
997	212	14	540	56.49	20.8	6.4	35	236	83
998	280	40	553	55.54	20.6	6.4	35	245	86
