"PLOT"	"X5_min"	"X10_min"	"X15_min"	"obs"	"total"	"PROPFOR"	"PROPNATFOR"	"SHA500"	"VEGH"	"altitude"	"hour_decimal"	"observer"	"region"	"zone"	"X"	"Y"
1188	0	0	0	0	0	0.056352591443712	0	0.216811301	4	133	11.5	"SL"	"Plain"	"Charing_Cross"	2444805	5738981
1190	0	0	0	0	0	0.394244237870877	0	0.670608776	15	58	10.72	"JM"	"Plain"	"Rakaia"	2442298	5714916
1195	0	0	0	0	0	0.273711012094208	0	0.586915061	15	66	7.75	"JM"	"Plain"	"Rakaia"	2442762	5718509
1196	0	0	0	0	0	0.330151457299224	0	0.634285844	15	66	8.42	"JM"	"Plain"	"Rakaia"	2442653	5718800
1202	0	0	0	0	0	0.0471028519809008	0	0.18989475	4	60	9.68	"SL"	"Plain"	"Rakaia"	2441396	5713571
1203	0	0	0	0	0	0.350229240957718	0	0.647588433	8	61	10.67	"SL"	"Plain"	"Rakaia"	2441638	5714920
1204	0	0	0	0	0	0.344410491469315	0	0.643917678	15	67	7.42	"DH"	"Plain"	"Rakaia"	2442393	5718417
1208	0	0	0	0	0	0.0475272960822094	0	0.208169157	15	62	9.7	"DH"	"Plain"	"Rakaia"	2441128	5713790
1209	0	0	0	0	0	0.353795211411105	0	0.64976442	25	60	10.65	"DH"	"Plain"	"Rakaia"	2441775	5714865
1210	0	0	0	0	0	0.0654460459680561	0	0.241696698	15	125	10.77	"EB"	"Plain"	"Charing_Cross"	2444250	5737350
1211	0	0	0	0	0	0.444614209320092	0	0.6869994	8	114	11.38	"EB"	"Plain"	"Charing_Cross"	2441300	5734750
1212	0	0	0	0	0	0.208938120702827	0	0.512546357	8	106	11.93	"EB"	"Plain"	"Charing_Cross"	2445220	5734750
1234	0	0	0	0	0	0.848048048048048	1	0.528934404	15	660	7.87	"EB"	"Mont"	"Hawdon_Valley"	2408047	5801726
1235	0	1	0	1	1	0.999866648886518	1	0.001323171	15	659	8.55	"EB"	"Mont"	"Hawdon_Valley"	2408234	5801986
1236	1	0	0	1	1	0.957932859729767	1	0.174458887	15	681	9.35	"EB"	"Mont"	"Hawdon_Valley"	2408208	5802203
1237	0	0	1	1	1	0.938628711355984	1	0.230724119	15	741	10.4	"EB"	"Mont"	"Hawdon_Valley"	2408251	5802544
1238	1	0	1	2	1	0.911120714491501	1	0.322409589	8	761	11.35	"EB"	"Mont"	"Hawdon_Valley"	2408535	5803120
